name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
Joseph Lee,Bread Machines,joseph-lee,"['524,042', '540,553']",2019,1849,"June 11, 1908","U.S. Patent Nos. 524,042; 540,553",Inducted in 2019,"Born1849 - DiedJune 11, 1908",
Tom Leighton,Content Delivery Network,tom-leighton,"['6,108,703']",2017,"Oct. 28, 1956",,"U.S. Patent No. 6,108,703",Inducted in 2017,"BornOct. 28, 1956",
Henry M. Leland,Interchangeable Parts for Automobiles,henry-m-leland,"['569,789']",2011,"Feb. 16, 1843","March 26, 1932","U.S. Patent No. 569,789",Inducted in 2011,"BornFeb. 16, 1843 - DiedMarch 26, 1932",
Daniel Lewin,Content Delivery Network,daniel-lewin,"['6,108,703']",2017,"May 14, 1970","Sept. 11, 2001","U.S. Patent No. 6,108,703",Inducted in 2017,"BornMay 14, 1970 - DiedSept. 11, 2001",
Ronald M. Lewis,Ceramic Substrate in Catalytic Converters,ronald-m-lewis,"['3,885,977']",2002,"Feb. 18, 1936",,"U.S. Patent No. 3,885,977",Inducted in 2002,"BornFeb. 18, 1936",
Ming-Jun Li,Bend-Insensitive Optical Fiber,ming-jun-li,"['7,450,806', '7,903,917', '8,385,701']",2022,"Oct. 12, 1959",,"U.S. Patent Nos. 7,450,806; 7,903,917; 8,385,701",Inducted in 2022,"BornOct. 12, 1959",
Frances Ligler,Portable Optical Biosensors,frances-ligler,"['5,077,210']",2017,"June 11, 1951",,"U.S. Patent No. 5,077,210",Inducted in 2017,"BornJune 11, 1951",
Lisa Lindahl,Sports Bra,lisa-lindahl,"['4,174,717']",2022,"Nov. 23, 1948",,"U.S. Patent No. 4,174,717",Inducted in 2022,"BornNov. 23, 1948",
Edwin A. Link,Flight Simulator,edwin-link,"['1,825,462']",2003,"July 26, 1904","Sept. 7, 1981","U.S. Patent No. 1,825,462",Inducted in 2003,"BornJuly 26, 1904 - DiedSept. 7, 1981",
Barbara Liskov,Programming Languages and System Design,barbara-liskov,"['6,671,821']",2012,"Nov. 7, 1939",,"U.S. Patent No. 6,671,821",Inducted in 2012,"BornNov. 7, 1939",
Oliver Joseph Lodge,Electric Telegraphy,oliver-joseph-lodge,"['609,154']",2007,"June 12, 1851","Aug. 22, 1940","U.S. Patent No. 609,154",Inducted in 2007,"BornJune 12, 1851 - DiedAug. 22, 1940",
Alfred L. Loomis,LORAN,alfred-l-loomis,"['2,884,628']",2013,"Nov. 4, 1887","Aug. 1, 1975","U.S. Patent No. 2,884,628",Inducted in 2013,"BornNov. 4, 1887 - DiedAug. 1, 1975",Military Service: U.S. Army
Auguste-Marie Lumiere,Cinematographe,auguste-marie-lumiere,"['591,858']",2007,"Oct. 19, 1862","April 10, 1954","U.S. Patent No. 591,858",Inducted in 2007,"BornOct. 19, 1862 - DiedApril 10, 1954",
Louis Lumiere,Cinematographe,louis-lumiere,"['591,858']",2007,"Oct. 5, 1864","June 6, 1948","U.S. Patent No. 591,858",Inducted in 2007,"BornOct. 5, 1864 - DiedJune 6, 1948",
John Joseph Lynott,Magnetic Disk Drive,john-joseph-lynott,"['3,503,060']",2007,"Aug. 25, 1921","April 20, 1994","U.S. Patent No. 3,503,060",Inducted in 2007,"BornAug. 25, 1921 - DiedApril 20, 1994",Military Service: U.S. Navy
Paul B. MacCready,Gossamer Condor,paul-b-maccready,"['4,206,892']",2015,"Sept. 29, 1925","Aug. 28, 2007","U.S. Patent No. 4,206,892",Inducted in 2015,"BornSept. 29, 1925 - DiedAug. 28, 2007",Military Service: U.S. Navy
John Macdougall,Ion Implantation,john-macdougall,"['3,895,966']",2009,"June 19, 1940",,"U.S. Patent No. 3,895,966",Inducted in 2009,"BornJune 19, 1940",
Stanley Macomber,Open Web Joist,stanley-macomber,"['1,651,032']",2011,"Nov. 26, 1887","May 15, 1967","U.S. Patent No. 1,651,032",Inducted in 2011,"BornNov. 26, 1887 - DiedMay 15, 1967",
Asad Madni,MEMS Gyroscope for Aerospace and Automotive Safety,asad-madni,"['7,360,422']",2024,"Sept. 8, 1947",,"U.S. Patent No. 7,360,422",Inducted in 2024,"BornSept. 8, 1947",
Theodore Harold Maiman,Laser,theodore-harold-maiman,"['3,353,115']",1984,"July 11, 1927","May 5, 2007","U.S. Patent No. 3,353,115",Inducted in 1984,"BornJuly 11, 1927 - DiedMay 5, 2007",Military Service: U.S. Navy
Ken Manchester,Ion Implantation,ken-manchester,"['3,895,966']",2009,"March 22, 1925","Nov. 10, 2014","U.S. Patent No. 3,895,966",Inducted in 2009,"BornMarch 22, 1925 - DiedNov. 10, 2014",Military Service: U.S. Army
Leopold Mannes,Kodachrome® Film,leopold-mannes,"['1,997,493']",2005,"Dec. 26, 1899","Aug. 11, 1964","U.S. Patent No. 1,997,493",Inducted in 2005,"BornDec. 26, 1899 - DiedAug. 11, 1964",
Peter Mansfield,Magnetic Resonance Imaging,peter-mansfield,"['4,115,730']",2007,"Oct. 9, 1933","Feb. 8, 2017","U.S. Patent No. 4,115,730",Inducted in 2007,"BornOct. 9, 1933 - DiedFeb. 8, 2017",
Guglielmo Marconi,Radio,guglielmo-marconi,"['586,193']",1975,"April 25, 1874","July 20, 1937","U.S. Patent No. 586,193",Inducted in 1975,"BornApril 25, 1874 - DiedJuly 20, 1937",
Warren Marrison,Quartz Clock,warren-marrison,"['1,788,533']",2011,"May 21, 1896","March 27, 1980","U.S. Patent No. 1,788,533",Inducted in 2011,"BornMay 21, 1896 - DiedMarch 27, 1980",
Homer Z. Martin,Fluid Catalytic Cracking,homer-z-martin,"['2,451,804']",1999,"Nov. 20, 1910","Sept. 1, 1993","U.S. Patent No. 2,451,804",Inducted in 1999,"BornNov. 20, 1910 - DiedSept. 1, 1993",
John L. Mason,Mason Jar,john-l-mason,"['22,186']",2006,"Jan. 1, 1832","Feb. 26, 1902","U.S. Patent No. 22,186",Inducted in 2006,"BornJan. 1, 1832 - DiedFeb. 26, 1902",
Jan Ernst Matzeliger,Shoe-Lasting Machine,jan-ernst-matzeliger,"['274,207']",2006,"Sept. 15, 1852","Aug. 24, 1889","U.S. Patent No. 274,207",Inducted in 2006,"BornSept. 15, 1852 - DiedAug. 24, 1889",
John Mauchly,ENIAC,john-mauchly,"['2,577,141']",2002,"Aug. 30, 1907","Jan. 8, 1980","U.S. Patent No. 2,577,141",Inducted in 2002,"BornAug. 30, 1907 - DiedJan. 8, 1980",
Robert D. Maurer,Optical Fiber,robert-d-maurer,"['3,659,915', '3,711,262']",1993,"July 20, 1924",,"U.S. Patent Nos. 3,659,915; 3,711,262",Inducted in 1993,"BornJuly 20, 1924",Military Service: U.S. Army
Hiram S. Maxim,Maxim Gun; Smokeless Gunpowder,hiram-s-maxim,"['430,212']",2006,"Feb. 5, 1840","Nov. 24, 1916","U.S. Patent No. 430,212",Inducted in 2006,"BornFeb. 5, 1840 - DiedNov. 24, 1916",
Wilhelm Maybach,Explosion and Combustion Motor,wilhelm-maybach,"['499,302', '668,111']",2007,"Feb. 9, 1846","Dec. 29, 1929","U.S. Patent Nos. 499,302; 668,111",Inducted in 2007,"BornFeb. 9, 1846 - DiedDec. 29, 1929",
Stanley Mazor,Microprocessor,stanley-mazor,"['3,821,715']",1996,"Oct. 22, 1941",,"U.S. Patent No. 3,821,715",Inducted in 1996,"BornOct. 22, 1941",
Cyrus McCormick,Mechanical Reaper,cyrus-mccormick,missing,1976,"Feb. 15, 1809","May 13, 1884",Inducted in 1976,"BornFeb. 15, 1809 - DiedMay 13, 1884",,
Elijah McCoy,Automatic Engine Lubricator,elijah-mccoy,"['129,843']",2001,"May 2, 1844","Oct. 10, 1929","U.S. Patent No. 129,843",Inducted in 2001,"BornMay 2, 1844 - DiedOct. 10, 1929",
James McEwen,Automatic Surgical Tourniquet,james-mcewen,"['4,469,099']",2022,"June 10, 1948",,"U.S. Patent No. 4,469,099",Inducted in 2022,"BornJune 10, 1948",
Otis Ray McIntire,STYROFOAM™ Brand Foam,otis-ray-mcintire,"['2,450,436']",2008,"Aug. 24, 1918","Feb. 2, 1996","U.S. Patent No. 2,450,436",Inducted in 2008,"BornAug. 24, 1918 - DiedFeb. 2, 1996",
Malcom McLean,Containerized Shipping,malcom-mclean,"['2,853,968']",2008,"Nov. 14, 1913","May 25, 2001","U.S. Patent No. 2,853,968",Inducted in 2008,"BornNov. 14, 1913 - DiedMay 25, 2001",
Harold McMaster,Tempered Glass,harold-mcmaster,"['3,994,711']",2008,"July 20, 1916","Aug. 25, 2003","U.S. Patent No. 3,994,711",Inducted in 2008,"BornJuly 20, 1916 - DiedAug. 25, 2003",
Carver Mead,Very Large-Scale Integration (VLSI),carver-mead,"['3,959,774']",2009,"May 1, 1934",,"U.S. Patent No. 3,959,774",Inducted in 2009,"BornMay 1, 1934",
Ottmar Mergenthaler,Linotype Composing Machine,ottmar-mergenthaler,"['317,828']",1982,"May 10, 1854","Oct. 28, 1899","U.S. Patent No. 317,828",Inducted in 1982,"BornMay 10, 1854 - DiedOct. 28, 1899",
Ralph Merkle,Public-Key Cryptography,ralph-merkle,"['4,200,770']",2011,"Feb. 2, 1952",,"U.S. Patent No. 4,200,770",Inducted in 2011,"BornFeb. 2, 1952",
Robert M. Metcalfe,Ethernet,robert-m-metcalfe,"['4,063,220']",2007,"April 7, 1946",,"U.S. Patent No. 4,063,220",Inducted in 2007,"BornApril 7, 1946",
Gary K. Michelson,Spinal Surgical Devices,gary-k-michelson,"['6,770,074']",2011,"Jan. 14, 1949",,"U.S. Patent No. 6,770,074",Inducted in 2011,"BornJan. 14, 1949",
"Thomas Midgley, Jr.",Ethyl Gasoline,thomas-midgley,"['1,491,998']",2003,"May 18, 1889","Nov. 2, 1944","U.S. Patent No. 1,491,998",Inducted in 2003,"BornMay 18, 1889 - DiedNov. 2, 1944",
Alexander Miles,Improved Method for Opening and Closing Elevators,alexander-miles,"['371,207']",2007,"May 18, 1838","May 7, 1918","U.S. Patent No. 371,207",Inducted in 2007,"BornMay 18, 1838 - DiedMay 7, 1918",
Hinda Miller,Sports Bra,hinda-miller,"['4,174,717']",2022,"April 18, 1950",,"U.S. Patent No. 4,174,717",Inducted in 2022,"BornApril 18, 1950",
Lewis Miller,Improvement in Mowing Machines,lewis-miller,"['15,160']",2006,"July 24, 1829","Feb. 17, 1899","U.S. Patent No. 15,160",Inducted in 2006,"BornJuly 24, 1829 - DiedFeb. 17, 1899",
Irving Millman,Vaccine for Hepatitis B,irving-millman,"['3,636,191', '3,872,225']",1993,"May 23, 1923","April 17, 2012","U.S. Patent Nos. 3,636,191; 3,872,225",Inducted in 1993,"BornMay 23, 1923 - DiedApril 17, 2012",Military Service: U.S. Army
Michel Mirowski,Implantable Heart Defibrillator,michel-mirowski,"['4,202,340']",2002,"Oct. 14, 1924","March 26, 1990","U.S. Patent No. 4,202,340",Inducted in 2002,"BornOct. 14, 1924 - DiedMarch 26, 1990",
Sumita Mitra,Nanocomposite Dental Materials,sumita-mitra,"['6,730,156', '6,572,693', '6,387,981']",2018,"Feb. 27, 1949",,"U.S. Patent Nos. 6,730,156; 6,572,693; 6,387,981",Inducted in 2018,"BornFeb. 27, 1949",
Dennis L. Moeller,Peripherals,dennis-l-moeller,"['4,528,626']",1997,"April 28, 1950",,"U.S. Patent No. 4,528,626",Inducted in 1997,"BornApril 28, 1950",
Bryan B. Molloy,Prozac,bryan-b-molloy,"['4,314,081']",1999,"March 30, 1939","May 8, 2004","U.S. Patent No. 4,314,081",Inducted in 1999,"BornMarch 30, 1939 - DiedMay 8, 2004",
Luc Montagnier,HIV Virus Isolation and Diagnosis,luc-montagnier,"['4,708,818']",2004,"Aug. 18, 1932","Feb. 8, 2022","U.S. Patent No. 4,708,818",Inducted in 2004,"BornAug. 18, 1932 - DiedFeb. 8, 2022",
Robert A. Moog,Moog Synthesizer,robert-moog,"['3,475,623']",2013,"May 23, 1934","Aug. 21, 2005","U.S. Patent No. 3,475,623",Inducted in 2013,"BornMay 23, 1934 - DiedAug. 21, 2005",
Gordon Moore,Method for Fabricating Transistors,gordon-moore,"['3,108,359']",2009,"Jan. 3, 1929","March 24, 2023","U.S. Patent No. 3,108,359",Inducted in 2009,"BornJan. 3, 1929 - DiedMarch 24, 2023",
Garrett Morgan,The Gas Mask; Three-way Traffic Signal,garrett-morgan,"['1,090,936', '1,475,024']",2005,"March 4, 1887","Aug. 27, 1963","U.S. Patent Nos. 1,090,936; 1,475,024",Inducted in 2005,"BornMarch 4, 1887 - DiedAug. 27, 1963",
Samuel F. B. Morse,Telegraph,samuel-f-b-morse,"['1,647']",1975,"April 27, 1791","April 2, 1872","U.S. Patent No. 1,647",Inducted in 1975,"BornApril 27, 1791 - DiedApril 2, 1872",
Mick Mountz,Mobile Robotic Material Handling for Order Fulfillment,mick-mountz,"['8,649,899']",2022,"May 5, 1965",,"U.S. Patent No. 8,649,899",Inducted in 2022,"BornMay 5, 1965",
Morton Mower,Implantable Heart Defibrillator,morton-mower,"['4,202,340']",2002,"Jan. 31, 1933","April 25, 2022","U.S. Patent No. 4,202,340",Inducted in 2002,"BornJan. 31, 1933 - DiedApril 25, 2022",Military Service: U.S. Army
Andrew J. Moyer,Method for Production of Penicillin,andrew-j-moyer,"['2,442,141', '2,443,989']",1987,"Nov. 30, 1899","Feb. 17, 1959","U.S. Patent Nos. 2,442,141; 2,443,989",Inducted in 1987,"BornNov. 30, 1899 - DiedFeb. 17, 1959",Military Service: U.S. Army
Louis Marius Moyroud,Photo Composing Machine,louis-marius-moyroud,"['2,790,362']",1985,"Feb. 16, 1914","June 28, 2010","U.S. Patent No. 2,790,362",Inducted in 1985,"BornFeb. 16, 1914 - DiedJune 28, 2010",
Joseph Muhler,Stannous Fluoride Toothpaste,joseph-muhler,"['3,445,567']",2019,"Dec. 22, 1923","Dec. 24, 1996","U.S. Patent No. 3,445,567",Inducted in 2019,"BornDec. 22, 1923 - DiedDec. 24, 1996",Military Service: U.S. Navy
Kary B. Mullis,Polymerase Chain Reaction,kary-b-mullis,"['4,683,202']",1998,"Dec. 28, 1944","Aug. 7, 2019","U.S. Patent No. 4,683,202",Inducted in 1998,"BornDec. 28, 1944 - DiedAug. 7, 2019",
Eger V. Murphree,Fluid Catalytic Cracking,eger-v-murphree,"['2,451,804']",1999,"Nov. 3, 1898","Oct. 29, 1962","U.S. Patent No. 2,451,804",Inducted in 1999,"BornNov. 3, 1898 - DiedOct. 29, 1962",
"William P. Murphy, Jr.",Disposable Medical Trays,william-p-murphy,"['3,013,656']",2008,"Nov. 11, 1923","Nov. 30, 2023","U.S. Patent No. 3,013,656",Inducted in 2008,"BornNov. 11, 1923 - DiedNov. 30, 2023",
George Washington Murray,Agricultural Machinery,george-washington-murray,"['517,960']",2024,"Sept. 22, 1853","April 21, 1926","U.S. Patent No. 517,960",Inducted in 2024,"BornSept. 22, 1853 - DiedApril 21, 1926",
Thomas E. Murray,Electric Fuse Box,thomas-e-murray,"['913,754']",2011,"Oct. 21, 1860","July 21, 1929","U.S. Patent No. 913,754",Inducted in 2011,"BornOct. 21, 1860 - DiedJuly 21, 1929",
Eadweard Muybridge,Stop-Action Photography,eadweard-muybridge,"['212,865']",2011,"April 9, 1830","May 8, 1904","U.S. Patent No. 212,865",Inducted in 2011,"BornApril 9, 1830 - DiedMay 8, 1904",
Shuji Nakamura,Blue LED,shuji-nakamura,"['5,290,393']",2015,"May 22, 1954",,"U.S. Patent No. 5,290,393",Inducted in 2015,"BornMay 22, 1954",
William Nebergall,Stannous Fluoride Toothpaste,william-nebergall,"['2,876,166']",2019,"Dec. 21, 1914","Sept. 2, 1978","U.S. Patent No. 2,876,166",Inducted in 2019,"BornDec. 21, 1914 - DiedSept. 2, 1978",
Walther H. Nernst,Metallic Filament Incandescent Lamp,walther-h-nernst,"['623,811']",2011,"June 25, 1864","Nov. 18, 1941","U.S. Patent No. 623,811",Inducted in 2011,"BornJune 25, 1864 - DiedNov. 18, 1941",
John Nicholson,Ibuprofen,john-nicholson,"['3,228,831']",2022,"May 30, 1925","March 4, 1983","U.S. Patent No. 3,228,831",Inducted in 2022,"BornMay 30, 1925 - DiedMarch 4, 1983",
Rev. Julius Arthur Nieuwland,"C.S.C., Synthetic Rubber",rev-julius-arthur-nieuwland,"['1,811,959']",1996,"Feb. 14, 1878","June 11, 1936","U.S. Patent No. 1,811,959",Inducted in 1996,"BornFeb. 14, 1878 - DiedJune 11, 1936",
Alfred Nobel,Dynamite,alfred-nobel,"['78,317']",1998,"Oct. 21, 1833","Dec. 10, 1896","U.S. Patent No. 78,317",Inducted in 1998,"BornOct. 21, 1833 - DiedDec. 10, 1896",
Arthur Nobile,Prednisone,arthur-nobile,"['3,134,718']",2007,"May 6, 1920","Jan. 13, 2004","U.S. Patent No. 3,134,718",Inducted in 2007,"BornMay 6, 1920 - DiedJan. 13, 2004",Military Service: U.S. Army Air Corps
John K. Northrop,Flying Wing Plane; All-Metal High-Wing Monocoque Airplane (Vega),john-k-northrop,"['2,406,506']",2003,"Nov. 10, 1895","Feb. 18, 1981","U.S. Patent No. 2,406,506",Inducted in 2003,"BornNov. 10, 1895 - DiedFeb. 18, 1981",
Frederick Novello,Thiazide Diuretics (Chlorothiazide),frederick-novello,"['2,809,194']",2019,1916,"Dec. 17, 1986","U.S. Patent No. 2,809,194",Inducted in 2019,"Born1916 - DiedDec. 17, 1986",
Robert N. Noyce,Integrated Circuit,robert-n-noyce,"['2,981,877']",1983,"Dec. 12, 1927","June 3, 1990","U.S. Patent No. 2,981,877",Inducted in 1983,"BornDec. 12, 1927 - DiedJune 3, 1990",
Bernard Oliver,Pulse Code Modulation,bernard-oliver,"['2,801,281']",2004,"May 27, 1916","Nov. 23, 1995","U.S. Patent No. 2,801,281",Inducted in 2004,"BornMay 27, 1916 - DiedNov. 23, 1995",
Kenneth H. Olsen,Magnetic Core Memory,kenneth-h-olsen,"['3,161,861']",1990,"Feb. 20, 1926","Feb. 6, 2011","U.S. Patent No. 3,161,861",Inducted in 1990,"BornFeb. 20, 1926 - DiedFeb. 6, 2011",Military Service: U.S. Navy
Miguel Angel Ondetti,Captopril,miguel-angel-ondetti,"['4,105,776']",2007,"May 14, 1930","Aug. 23, 2004","U.S. Patent No. 4,105,776",Inducted in 2007,"BornMay 14, 1930 - DiedAug. 23, 2004",
Elisha Graves Otis,Elevator Brake,elisha-graves-otis,"['31,128']",1988,"Aug. 3, 1811","April 8, 1861","U.S. Patent No. 31,128",Inducted in 1988,"BornAug. 3, 1811 - DiedApril 8, 1861",
Nicolaus August Otto,Gas-Motor Engine,nicolaus-august-otto,"['365,701']",1981,"June 10, 1832","Jan. 26, 1891","U.S. Patent No. 365,701",Inducted in 1981,"BornJune 10, 1832 - DiedJan. 26, 1891",
Stanford R. Ovshinsky,Nickel-Metal Hydride Battery,stanford-r-ovshinsky,"['4,623,597']",2015,"Nov. 24, 1922","Oct. 17, 2012","U.S. Patent No. 4,623,597",Inducted in 2015,"BornNov. 24, 1922 - DiedOct. 17, 2012",
Michael J. Owens,Glass-Shaping Machine,michael-j-owens,"['766,768']",2007,"Jan. 1, 1859","Dec. 27, 1923","U.S. Patent No. 766,768",Inducted in 2007,"BornJan. 1, 1859 - DiedDec. 27, 1923",
Charles G. Page,High-Voltage Induction Coil,charles-g-page,"['76,654']",2006,"Jan. 25, 1812","May 5, 1868","U.S. Patent No. 76,654",Inducted in 2006,"BornJan. 25, 1812 - DiedMay 5, 1868",
William Painter,Bottle Cap,william-painter,"['468,226']",2006,"Nov. 20, 1838","July 15, 1906","U.S. Patent No. 468,226",Inducted in 2006,"BornNov. 20, 1838 - DiedJuly 15, 1906",
David Pall,Leukocyte Reduction Filter,david-pall,"['4,925,572']",2008,"April 2, 1914","Sept. 21, 2004","U.S. Patent No. 4,925,572",Inducted in 2008,"BornApril 2, 1914 - DiedSept. 21, 2004",
Julio C. Palmaz,Intravascular Stent,julio-c-palmaz,"['4,733,665']",2006,"Dec. 13, 1945",,"U.S. Patent No. 4,733,665",Inducted in 2006,"BornDec. 13, 1945",
Louis W. Parker,Television Receiver,louis-w-parker,"['2,448,908']",1988,"Jan. 1, 1906","June 21, 1993","U.S. Patent No. 2,448,908",Inducted in 1988,"BornJan. 1, 1906 - DiedJune 21, 1993",
Bradford Parkinson,Global Positioning System,bradford-parkinson,"['5,572,218']",2004,"Feb. 16, 1935",,"U.S. Patent No. 5,572,218",Inducted in 2004,"BornFeb. 16, 1935",Military Service: U.S. Air Force
James A. Parsons Jr.,Durimet 20 (Alloy 20) Stainless Steel Alloy,james-parsons-jr,"['2,185,987']",2023,"May 30, 1900","March 4, 1989","U.S. Patent No. 2,185,987",Inducted in 2023,"BornMay 30, 1900 - DiedMarch 4, 1989",
John T. Parsons,Numerical Control,john-t-parsons,"['2,820,187']",1993,"Oct. 11, 1913","April 18, 2007","U.S. Patent No. 2,820,187",Inducted in 1993,"BornOct. 11, 1913 - DiedApril 18, 2007",
Louis Pasteur,Pasteurization,louis-pasteur,"['135,245']",1978,"Dec. 27, 1822","Sept. 28, 1895","U.S. Patent No. 135,245",Inducted in 1978,"BornDec. 27, 1822 - DiedSept. 28, 1895",
C. Kumar N. Patel,Carbon Dioxide Laser,c-kumar-n-patel,"['3,596,202']",2012,"July 2, 1938",,"U.S. Patent No. 3,596,202",Inducted in 2012,"BornJuly 2, 1938",
Les Paul,Solid-Body Electric Guitar,les-paul,"['3,018,680']",2005,"June 9, 1915","Aug. 12, 2009","U.S. Patent No. 3,018,680",Inducted in 2005,"BornJune 9, 1915 - DiedAug. 12, 2009",Military Service: U.S. Army
Arogyaswami Paulraj,MIMO Wireless Technology,arogyaswami-paulraj,"['5,345,599']",2018,"April 14, 1944",,"U.S. Patent No. 5,345,599",Inducted in 2018,"BornApril 14, 1944",
Gerald L. Pearson,Silicon Solar Cell,gerald-l-pearson,"['2,780,765']",2008,"March 31, 1905","Oct. 25, 1987","U.S. Patent No. 2,780,765",Inducted in 2008,"BornMarch 31, 1905 - DiedOct. 25, 1987",
Lester A. Pelton,Water Wheel,lester-pelton,"['233,692']",2006,"Sept. 5, 1829","March 14, 1908","U.S. Patent No. 233,692",Inducted in 2006,"BornSept. 5, 1829 - DiedMarch 14, 1908",
Mary Engle Pennington,Food Preservation and Storage,mary-engle-pennington,"['1,996,171']",2018,"Oct. 8, 1872","Dec. 27, 1952","U.S. Patent No. 1,996,171",Inducted in 2018,"BornOct. 8, 1872 - DiedDec. 27, 1952",
Radia Perlman,Robust Network Routing and Bridging,radia-perlman,"['5,086,428', '7,339,900']",2016,"Dec. 18, 1951",,"U.S. Patent Nos. 5,086,428; 7,339,900",Inducted in 2016,"BornDec. 18, 1951",
Henry Phillips,Phillips Screw,henry-phillips,"['2,046,343']",2011,"June 4, 1889","April 13, 1958","U.S. Patent No. 2,046,343",Inducted in 2011,"BornJune 4, 1889 - DiedApril 13, 1958",
Thomas R. Pickering,Improved Velocipede,thomas-r-pickering,"['88,507']",2007,"Jan. 1, 1831","Feb. 21, 1895","U.S. Patent No. 88,507",Inducted in 2007,"BornJan. 1, 1831 - DiedFeb. 21, 1895",
John Pierce,Communications Satellite,john-pierce,"['2,719,188']",2003,"March 27, 1910","April 2, 2002","U.S. Patent No. 2,719,188",Inducted in 2003,"BornMarch 27, 1910 - DiedApril 2, 2002",
Gregory Pincus,Oral Contraceptive,gregory-pincus,"['2,666,015']",2006,"April 9, 1903","Aug. 22, 1967","U.S. Patent No. 2,666,015",Inducted in 2006,"BornApril 9, 1903 - DiedAug. 22, 1967",
Charles J. Plank,Zeolite Catalyst for Catalytic Cracking,charles-j-plank,"['3,140,249']",1979,"Nov. 8, 1915","Oct. 23, 1989","U.S. Patent No. 3,140,249",Inducted in 1979,"BornNov. 8, 1915 - DiedOct. 23, 1989",
Roy J. Plunkett,Teflon,roy-j-plunkett,"['2,230,654']",1985,"June 26, 1910","May 12, 1994","U.S. Patent No. 2,230,654",Inducted in 1985,"BornJune 26, 1910 - DiedMay 12, 1994",
Mary Florence Potts,Cold-Handle Sad Iron,mary-florence-potts,"['103,501', '113,448']",2024,"Nov. 1, 1850","June 24, 1922","U.S. Patent Nos. 103,501; 113,448",Inducted in 2024,"BornNov. 1, 1850 - DiedJune 24, 1922",
Valdemar Poulsen,Magnetic Wire Recorder,valdemar-poulsen,"['661,619']",2011,"Nov. 23, 1869","July 23, 1942","U.S. Patent No. 661,619",Inducted in 2011,"BornNov. 23, 1869 - DiedJuly 23, 1942",
George M. Pullman,Pullman Car,george-m-pullman,"['42,182']",2006,"March 3, 1831","Oct. 19, 1897","U.S. Patent No. 42,182",Inducted in 2006,"BornMarch 3, 1831 - DiedOct. 19, 1897",
Michael Pupin,Loading Coil for Long Distance Telephony,michael-pupin,"['761,995']",2011,"Oct. 4, 1858","March 12, 1935","U.S. Patent No. 761,995",Inducted in 2011,"BornOct. 4, 1858 - DiedMarch 12, 1935",
Jacqueline  Quinn,EZVI (Emulsified Zero-Valent Iron),jacqueline-quinn,"['6,664,298']",2018,"July 19, 1967",,"U.S. Patent No. 6,664,298",Inducted in 2018,"BornJuly 19, 1967",
Jacob Rabinow,Optical Character Reading,jacob-rabinow,"['2,933,246']",2005,"Jan. 8, 1910","Sept. 11, 1999","U.S. Patent No. 2,933,246",Inducted in 2005,"BornJan. 8, 1910 - DiedSept. 11, 1999",
Grote Reber,Radio Telescope,grote-reber,"['2,519,603']",2013,"Dec. 22, 1911","Dec. 20, 2002","U.S. Patent No. 2,519,603",Inducted in 2013,"BornDec. 22, 1911 - DiedDec. 20, 2002",
Louis Renault,Automobiles,louis-renault,"['660,924']",2007,"Feb. 15, 1877","Oct. 24, 1944","U.S. Patent No. 660,924",Inducted in 2007,"BornFeb. 15, 1877 - DiedOct. 24, 1944",
Jesse Wilford Reno,Escalator,jesse-wilford-reno,"['470,918']",2007,"Jan. 1, 1861","Jan. 1, 1947","U.S. Patent No. 470,918",Inducted in 2007,"BornJan. 1, 1861 - DiedJan. 1, 1947",
Rebecca Richards-Kortum,Medical Devices for Low-Resource Settings,rebecca-richards-kortum,"['7,365,844']",2019,"April 14, 1964",,"U.S. Patent No. 7,365,844",Inducted in 2019,"BornApril 14, 1964",
Ken Richardson,Fluconazole,ken-richardson,"['4,404,216']",2008,"Nov. 26, 1939",,"U.S. Patent No. 4,404,216",Inducted in 2008,"BornNov. 26, 1939",
Norbert Rillieux,Automated Sugar Refining,norbert-rillieux,"['4,879']",2004,"March 17, 1806","Oct. 8, 1894","U.S. Patent No. 4,879",Inducted in 2004,"BornMarch 17, 1806 - DiedOct. 8, 1894",
Robert Rines,High-Resolution Radar and Sonar,robert-rines,"['2,528,725', '2,711,440', '2,711,534']",1994,"Aug. 30, 1922","Nov. 1, 2009","U.S. Patent Nos. 2,528,725; 2,711,440; 2,711,534",Inducted in 1994,"BornAug. 30, 1922 - DiedNov. 1, 2009",Military Service: U.S. Army
Dennis Ritchie,UNIX Operating System,dennis-ritchie,"['4,135,240']",2019,"Sept. 9, 1941","Oct. 12, 2011","U.S. Patent No. 4,135,240",Inducted in 2019,"BornSept. 9, 1941 - DiedOct. 12, 2011",
James Ritty,Mechanical Cash Register,james-ritty,"['221,360']",2011,"Oct. 29, 1836","March 29, 1918","U.S. Patent No. 221,360",Inducted in 2011,"BornOct. 29, 1836 - DiedMarch 29, 1918",Military Service: U.S. Army
John Ritty,Mechanical Cash Register,john-ritty,"['221,360']",2011,"Jan. 1, 1834","Dec. 28, 1913","U.S. Patent No. 221,360",Inducted in 2011,"BornJan. 1, 1834 - DiedDec. 28, 1913",Military Service: U.S. Army
Ronald Rivest,RSA Cryptography,ronald-rivest,"['4,405,829']",2018,"May 6, 1947",,"U.S. Patent No. 4,405,829",Inducted in 2018,"BornMay 6, 1947",
